Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 8000
	- number of iterations 100
	- degree 8
	- delta 2.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 500
Simulation 1
37000	3901
Numero di step eseguiti = 37569
Simulation 57
0	7147
1000	7186
2000	7188
3000	7186
4000	7185
5000	7184
6000	7191
7000	7186
8000	7175
9000	7182
10000	7170
11000	7180
12000	7179
13000	7158
14000	7149
15000	7160
16000	7135
17000	7102
18000	7090
19000	7130
20000	7187
21000	6814
22000	6625
23000	6144
24000	5972
25000	5140
26000	4728
27000	4699
28000	4583
29000	4427
Numero di step eseguiti = 29525
Simulation 58
0	7157
1000	7191
2000	7185
3000	7178
4000	7183
5000	7186
6000	7174
7000	7176
8000	7165
9000	7181
10000	7173
11000	7168
12000	7173
13000	7165
14000	7176
15000	7169
16000	7161
17000	7135
18000	7134
19000	7179
20000	7096
21000	7165
22000	7197
23000	5711
24000	5171
25000	4442
26000	4652
27000	6260
28000	5665
Numero di step eseguiti = 28653
Simulation 59
0	7158
1000	7194
2000	7178
3000	7186
4000	7168
5000	7166
6000	7164
7000	7170
8000	7175
9000	7173
10000	7162
11000	7161
12000	7171
13000	7171
14000	7151
15000	7164
16000	7133
17000	7021
18000	7068
19000	7102
20000	7107
21000	6949
22000	6505
23000	6243
24000	5324
25000	6377
26000	6967
Numero di step eseguiti = 26501
Simulation 60
0	7148
1000	7192
2000	7195
3000	7194
4000	7189
5000	7185
6000	7181
7000	7179
8000	7174
9000	7169
10000	7175
11000	7168
12000	7171
13000	7156
14000	7123
15000	7137
16000	7171
17000	7042
18000	7018
19000	6797
20000	7112
21000	6932
22000	5959
23000	5725
24000	5514
25000	7181
26000	7124
27000	7190
28000	6613
29000	7177
30000	7194
Numero di step eseguiti = 30652
Simulation 61
0	7166
1000	7187
2000	7192
3000	7176
4000	7172
5000	7174
6000	7169
7000	7182
8000	7164
9000	7163
10000	7161
11000	7163
12000	7099
13000	7128
14000	7048
15000	7051
16000	7055
17000	6725
18000	5958
19000	5606
20000	5528
21000	5269
22000	4907
23000	4690
24000	4441
25000	4418
26000	3872
27000	4070
28000	3383
29000	3462
30000	3412
Numero di step eseguiti = 30500
Simulation 62
0	7167
1000	7195
2000	7189
3000	7186
4000	7177
5000	7180
6000	7168
7000	7181
8000	7174
9000	7163
10000	7159
11000	7161
12000	7168
13000	7161
14000	7167
15000	7138
16000	7139
17000	7128
18000	7108
19000	7172
20000	6985
21000	6395
22000	6205
23000	5885
24000	5779
25000	5269
26000	4434
27000	4286
28000	3813
29000	3536
30000	2912
31000	4111
Numero di step eseguiti = 31265
Simulation 63
0	7147
1000	7193
2000	7181
3000	7164
4000	7172
5000	7163
6000	7173
7000	7169
8000	7153
9000	7129
10000	7166
11000	7187
12000	7154
13000	7160
14000	7152
15000	7171
16000	7110
17000	7081
18000	7098
19000	6937
20000	6617
21000	6614
22000	5786
23000	5436
24000	5158
25000	4908
26000	5137
Numero di step eseguiti = 26677
Simulation 64
0	7137
1000	7190
2000	7186
3000	7186
4000	7163
5000	7175
6000	7166
7000	7150
8000	7155
9000	7173
10000	7153
11000	7156
12000	7152
13000	7136
14000	7047
15000	6975
16000	6898
17000	7036
18000	6563
19000	7185
20000	5619
21000	5271
22000	5042
23000	4676
24000	4402
25000	4885
26000	3896
27000	4664
28000	3702
29000	3666
30000	3435
31000	3309
32000	3898
Numero di step eseguiti = 32512
Simulation 65
0	7147
1000	7193
2000	7183
3000	7173
4000	7175
5000	7165
6000	7157
7000	7140
8000	7140
9000	7146
10000	7154
11000	7131
12000	7116
13000	7144
14000	7171
15000	7161
16000	7075
17000	6958
18000	6497
19000	5927
20000	5535
21000	5024
22000	4784
23000	5324
24000	4195
25000	4624
26000	3900
27000	3458
28000	3634
29000	4997
Numero di step eseguiti = 29868
Simulation 66
0	7155
1000	7192
2000	7189
3000	7183
4000	7173
5000	7168
6000	7161
7000	7152
8000	7150
9000	7122
10000	7147
11000	7159
12000	7133
13000	7134
14000	7126
15000	7151
16000	7153
17000	7137
18000	7166
19000	7148
20000	6934
21000	6606
22000	6319
23000	5747
24000	5499
25000	5037
26000	4521
27000	4221
28000	3830
29000	3521
30000	3240
31000	3334
32000	3023
33000	2885
34000	3158
35000	4396
Numero di step eseguiti = 35488
Simulation 67
0	7156
