Using default parameters: 
	- linear edge agents 30
	- agents 900
	- features 3
	- number of possible values for any feature 0
	- number of iterations 100
	- degree 8
	- delta 0.000000
	- maxSide 0
Initializing Model ... 
Numero di links 7200
pos_features = 100
Simulation 1
19000	3274
20000	3192
21000	4815
Numero di step eseguiti = 21233
Simulation 37
0	6996
1000	7128
2000	7106
3000	7066
4000	7040
5000	7052
6000	7047
7000	6992
8000	6988
9000	7032
10000	7079
11000	6919
12000	6406
13000	6228
14000	5792
15000	4645
16000	4493
17000	4229
18000	3727
19000	3362
20000	3493
21000	2787
22000	3161
23000	3136
24000	7199
25000	2631
26000	4026
Numero di step eseguiti = 26392
Simulation 38
0	6967
1000	7092
2000	7073
3000	7060
4000	7041
5000	7022
6000	6912
7000	6857
8000	6876
9000	6883
10000	6745
11000	6065
12000	5473
13000	5154
14000	4532
15000	4195
16000	3347
17000	2919
18000	2664
19000	3327
20000	3382
21000	7199
22000	7198
23000	7198
24000	7163
25000	7199
26000	7199
27000	7199
28000	7198
Numero di step eseguiti = 28962
Simulation 39
0	6989
1000	7114
2000	7067
3000	7045
4000	7038
5000	7005
6000	7006
7000	6968
8000	6823
9000	6911
10000	6625
11000	6553
12000	5531
13000	5276
14000	4530
15000	3730
16000	3544
17000	3433
18000	4779
19000	7199
20000	7199
21000	4883
22000	7199
23000	7199
24000	4739
25000	4939
Numero di step eseguiti = 25289
Simulation 40
0	6973
1000	7117
2000	7096
3000	7058
4000	7037
5000	7030
6000	6969
7000	7002
8000	6964
9000	6972
10000	6965
11000	6899
12000	6890
13000	6741
14000	5845
15000	5201
16000	4154
17000	5134
18000	4655
19000	7196
20000	7180
21000	7006
22000	7198
23000	7198
Numero di step eseguiti = 23358
Simulation 41
0	6993
1000	7096
2000	7069
3000	7062
4000	7066
5000	7003
6000	7034
7000	6930
8000	6963
9000	6850
10000	6924
11000	6412
12000	6018
13000	5601
14000	4174
15000	4016
16000	3792
17000	3459
Numero di step eseguiti = 17992
Simulation 42
0	7001
1000	7100
2000	7081
3000	7080
4000	7081
5000	7093
6000	7065
7000	7053
8000	7059
9000	7047
10000	7037
11000	7000
12000	7030
13000	6906
14000	6766
15000	6289
16000	5572
17000	5087
18000	4466
19000	3604
20000	3628
21000	3059
22000	2780
23000	2804
24000	2568
Numero di step eseguiti = 24723
Simulation 43
0	6971
1000	7119
2000	7104
3000	7096
4000	7065
5000	6991
6000	6982
7000	6981
8000	6970
9000	6978
10000	6971
11000	6850
12000	6509
13000	5717
14000	5692
15000	5211
16000	4500
17000	4415
18000	4175
19000	3478
20000	3218
21000	3169
22000	2638
23000	2663
24000	2681
25000	2758
26000	4508
27000	2769
28000	2891
Numero di step eseguiti = 28985
Simulation 44
0	6986
1000	7113
2000	7056
3000	7044
4000	6951
5000	6971
6000	6999
7000	6987
8000	6893
9000	6782
10000	6778
11000	6761
12000	5857
13000	5134
14000	4833
15000	3429
16000	4065
17000	3714
18000	3024
19000	2634
20000	2668
21000	3434
22000	3328
Numero di step eseguiti = 22508
Simulation 45
0	6996
1000	7125
2000	7065
3000	7034
4000	7033
5000	7042
6000	7043
7000	6974
8000	6909
9000	6998
10000	6232
11000	6085
12000	4733
13000	4115
14000	4045
15000	4112
16000	3302
17000	3210
18000	3087
19000	2941
20000	2819
21000	2920
22000	2721
23000	2606
24000	2592
25000	2753
26000	4103
27000	4189
Numero di step eseguiti = 27204
Simulation 46
0	6971
1000	7129
2000	7118
3000	7074
4000	7063
5000	7012
6000	7017
7000	6969
8000	6985
9000	6970
10000	6961
11000	6816
12000	6125
13000	5031
14000	4492
15000	4487
16000	3959
17000	3637
18000	3599
19000	3653
20000	3477
21000	3354
22000	2557
23000	2635
24000	2546
25000	2667
26000	2741
27000	2917
Numero di step eseguiti = 27882
Simulation 47
0	7010
1000	7141
2000	7128
3000	7112
4000	7058
5000	7012
6000	6990
7000	6867
8000	6862
9000	6716
10000	6230
11000	5586
12000	5357
13000	4559
14000	4127
15000	4069
16000	3672
17000	3621
18000	3315
19000	3033
20000	2906
21000	3043
22000	3468
23000	3324
Numero di step eseguiti = 23588
Simulation 48
0	7003
1000	7116
2000	7094
3000	7086
4000	7053
5000	6991
6000	7026
7000	6986
8000	6900
9000	6839
10000	6551
11000	6498
12000	6401
13000	5870
14000	5282
15000	4365
16000	4138
17000	3829
18000	3202
19000	3253
20000	3094
21000	3142
22000	2773
23000	3579
Numero di step eseguiti = 23805
Simulation 49
0	6976
1000	7114
2000	7107
3000	7052
4000	7016
5000	7041
6000	6998
7000	6999
8000	6973
9000	6996
10000	6996
11000	7085
12000	6781
13000	6777
14000	6690
15000	6500
16000	6097
17000	5660
18000	4767
19000	4836
20000	3797
21000	3301
22000	3763
23000	7196
24000	7195
25000	7194
26000	7022
27000	7195
28000	7197
29000	7197
30000	7148
Numero di step eseguiti = 30787
Simulation 50
0	6998
1000	7120
2000	7105
3000	7100
4000	7038
5000	7022
6000	7024
7000	6942
8000	6814
9000	6777
10000	6851
11000	6566
12000	5995
13000	5714
14000	5269
15000	4915
16000	4788
17000	4639
18000	3948
19000	3698
20000	3375
21000	4782
22000	7187
23000	7199
24000	7199
25000	7196
26000	7028
27000	4547
Numero di step eseguiti = 27179
Simulation 51
0	6982
1000	7111
2000	7075
3000	7042
4000	7046
5000	7023
6000	7004
7000	6952
8000	6762
9000	6703
10000	6821
11000	6560
12000	6240
13000	5744
14000	5144
15000	4738
16000	4270
17000	4641
18000	2867
19000	3856
Numero di step eseguiti = 19459
Simulation 52
0	6971
1000	7073
2000	7094
3000	7031
4000	7037
5000	7025
6000	6953
7000	6946
8000	6903
9000	6487
10000	6263
11000	5736
12000	5348
13000	4707
14000	4368
15000	3914
16000	3391
17000	3429
18000	3254
19000	4529
20000	3754
21000	7198
22000	7199
23000	7170
24000	7198
25000	7198
Numero di step eseguiti = 25140
Simulation 53
0	6991
1000	7108
2000	7087
3000	7065
4000	7050
5000	6984
6000	7035
7000	6987
8000	6956
9000	6959
10000	6984
11000	6846
12000	6807
13000	6695
14000	6602
15000	5249
16000	4404
17000	3752
18000	3049
19000	3280
20000	2954
21000	6612
Numero di step eseguiti = 21035
Simulation 54
0	6979
1000	7127
2000	7102
3000	7067
4000	7061
5000	7053
6000	7024
7000	6992
8000	6950
9000	6804
10000	6552
11000	6127
12000	5601
13000	4861
14000	4851
15000	4460
16000	3790
17000	3470
18000	3245
19000	2623
20000	2858
21000	2734
22000	3137
23000	2824
24000	3036
Numero di step eseguiti = 24310
Simulation 55
0	6982
1000	7127
2000	7124
3000	7078
4000	7033
5000	6989
6000	7029
7000	6856
8000	6766
9000	5926
10000	5166
11000	4837
12000	4763
13000	4346
14000	3589
15000	3389
16000	2812
17000	2940
18000	2112
Numero di step eseguiti = 18959
Simulation 56
0	6968
1000	7098
2000	7103
3000	7073
4000	7054
5000	7040
6000	7046
7000	7043
8000	6897
9000	6954
10000	6926
11000	6621
12000	6131
13000	5705
14000	5511
15000	4853
16000	4197
17000	3685
18000	3336
19000	3055
20000	3104
21000	2870
22000	2697
23000	3179
24000	3751
25000	3835
26000	7199
27000	2514
28000	2453
29000	7199
30000	7199
31000	7199
32000	7199
33000	7198
34000	7198
35000	7199
Numero di step eseguiti = 35243
Simulation 57
0	6975
1000	7126
2000	7098
3000	7025
4000	7016
5000	7004
6000	7065
7000	7032
8000	6899
9000	7009
10000	6974
11000	6951
12000	6819
13000	6758
14000	7132
15000	6113
16000	5649
17000	4107
18000	3432
19000	3045
20000	2881
21000	2534
22000	2460
23000	2146
24000	2569
25000	2194
26000	2369
27000	2402
28000	2395
29000	4004
